rank,prev_rank,name,league,off,def,spi
396,396,Kayserispor,34,1.1,1.52,36.1
397,398,Arminia Bielefeld,31,1.12,1.55,36.03
398,399,Arizona United,20,1.21,1.66,36.02
399,367,Hibernian,33,1.12,1.54,35.96
400,400,FC Spartak Trnava,22,0.9,1.27,35.94
401,402,Vissel Kobe,14,1.27,1.74,35.88
402,403,GIF Sundsvall,2,1.08,1.51,35.8
403,376,Bolton,17,0.96,1.36,35.75
404,404,Hartberg,1,1.47,1.99,35.64
405,405,Sanfrecce Hiroshima,14,1.06,1.5,35.49
406,406,Jahn Regensburg,31,1.3,1.8,35.42
407,401,Reading,17,1.11,1.56,35.41
408,407,Bidvest Wits,15,0.94,1.35,35.29
409,408,Sporting Gijón,26,0.85,1.23,35.25
410,409,Giannina,24,0.92,1.33,35.24
411,410,KSC Lokeren,6,1.03,1.47,35.1
412,411,AD Alcorcon,26,0.81,1.19,35.05
413,412,Mallorca,26,0.96,1.38,35.05
414,420,Barnsley,35,0.99,1.44,35.03
415,413,VfL Bochum,31,1.14,1.63,34.86
416,414,Larissa,24,0.88,1.31,34.65
417,415,Anzhi Makhachkala,18,0.91,1.35,34.64
418,418,Esbjerg,16,1.06,1.54,34.58
419,419,Lorient,8,0.94,1.38,34.55
420,417,Brescia,21,1.14,1.65,34.43
421,421,Cercle Brugge,6,1.17,1.69,34.4
422,422,FC St. Pauli,31,1.08,1.59,34.23
423,416,Ipswich Town,17,0.97,1.46,34.02
424,423,Randers FC,16,0.94,1.42,33.98
425,424,AGF Aarhus,16,1.01,1.52,33.95
426,425,Paris FC,8,0.71,1.12,33.94
427,426,Lens,8,0.94,1.43,33.77
428,427,FC Tokyo,14,0.81,1.25,33.74
429,428,Shonan Bellmare,14,0.9,1.38,33.67
430,430,Clermont Foot,8,0.77,1.21,33.55
431,431,OFI Crete,24,1.01,1.54,33.43
432,434,Stromsgodset,13,1.27,1.88,33.25
433,432,Western Sydney FC,11,1.2,1.8,33.21
434,435,Veracruz,28,1.08,1.64,33.2
435,436,Neuchatel Xamax,10,1.32,1.95,33.18
436,437,Paraná,5,0.86,1.35,33.17
437,494,Doncaster Rovers,35,1.14,1.73,33.06
438,438,Sonderjyske,16,0.95,1.47,33.06
439,439,AC Horsens,16,1.24,1.87,32.81
440,440,1. FC Heidenheim 1846,31,1.08,1.66,32.79
441,441,Reno 1868 FC,20,0.99,1.54,32.79
442,442,Vancouver Whitecaps,3,1.26,1.9,32.77
443,443,FC Wacker Innsbruck,1,0.94,1.48,32.74
444,452,Cittadella,21,0.94,1.48,32.72
445,444,NAC,30,1.24,1.88,32.69
446,429,Livingston,33,0.93,1.47,32.63
447,446,Ankaragucu,34,1.0,1.58,32.53
448,447,Dynamo Dresden,31,1.01,1.59,32.46
449,433,Charlton Athletic,35,1.04,1.64,32.39
450,448,Guizhou Hengfeng Zhicheng,12,1.07,1.68,32.23
451,450,Chicago Fire,3,1.09,1.72,31.94
452,451,New York Red Bulls II,20,1.42,2.16,31.83
453,453,Emmen,30,1.1,1.75,31.63
454,454,Le Havre,8,0.91,1.51,31.49
455,471,St Johnstone,33,0.92,1.52,31.35
456,455,Kaizer Chiefs,15,0.75,1.29,31.34
457,456,Auxerre,8,0.84,1.41,31.34
458,457,Minnesota United FC,3,1.23,1.95,31.32
459,459,Almeria,26,0.87,1.47,31.19
460,460,SV Darmstadt 98,31,0.99,1.63,31.15
461,461,Vegalta Sendai,14,1.11,1.79,31.1
462,463,FC Ingolstadt 04,31,1.02,1.67,31.01
463,462,Benevento,21,0.91,1.54,30.97
464,464,PEC Zwolle,30,1.04,1.72,30.89
465,458,Verona,21,0.96,1.61,30.82
466,465,SV Sandhausen,31,0.86,1.47,30.78
467,468,Adelaide United,11,1.04,1.73,30.55
468,449,Perugia,21,0.99,1.67,30.51
469,466,Jubilo Iwata,14,0.93,1.58,30.51
470,467,Las Palmas,26,1.04,1.75,30.34
471,469,FC Trenkwalder Admira,1,1.2,1.97,30.26
472,470,Numancia,26,0.82,1.45,30.22
473,480,Brisbane Roar,11,1.08,1.82,30.03
474,472,San Jose Earthquakes,3,1.17,1.96,29.83
475,473,Valerenga,13,1.04,1.79,29.59
476,475,Orlando City SC,3,1.1,1.87,29.56
477,476,Bethlehem Steel FC,20,1.01,1.75,29.49
478,478,Odd BK,13,0.89,1.61,29.24
479,474,Crotone,21,0.97,1.72,29.14
480,479,1. FC Magdeburg,31,0.97,1.72,29.11
481,481,Lamia,24,0.68,1.31,28.96
482,482,Pittsburgh Riverhounds,20,0.8,1.5,28.76
483,477,Spezia,21,0.84,1.56,28.69
484,484,Niort,8,0.73,1.4,28.58
485,485,Stabaek,13,1.09,1.92,28.42
486,486,Orebro SK,2,0.94,1.73,28.31
487,487,Erzgebirge Aue,31,0.9,1.68,28.27
488,503,Peterborough United,35,0.98,1.8,27.93
489,488,Excelsior,30,1.31,2.27,27.84
490,489,Bodo/Glimt,13,0.8,1.56,27.71
491,490,Apollon Smyrni,24,0.7,1.42,27.57
492,497,Foggia,21,0.93,1.75,27.52
493,498,Lecce,21,0.87,1.67,27.51
494,491,Lillestrom,13,0.92,1.75,27.44
495,492,Carolina Railhawks,20,1.15,2.09,27.35
496,493,Real Zaragoza,26,0.83,1.63,27.31
497,495,Levadiakos,24,0.78,1.56,27.12
498,496,Tenerife,26,0.76,1.54,26.94
499,517,Hearts,33,0.8,1.6,26.84
500,499,Extremadura UD,26,0.92,1.79,26.79
501,500,Vendsyssel,16,0.87,1.71,26.77
502,501,Real Oviedo,26,0.75,1.54,26.73
503,502,Tromso,13,1.04,1.96,26.72
504,520,US Pescara,21,0.88,1.74,26.54
505,504,Wellington Phoenix,11,0.95,1.85,26.46
506,505,Sacramento Republic FC,20,0.75,1.55,26.45
507,483,Fleetwood Town,35,0.86,1.73,26.35
508,506,Black Aces,15,0.84,1.69,26.33
509,507,Grenoble,8,0.78,1.61,26.31
510,508,V-Varen Nagasaki,14,0.92,1.82,26.29
511,509,SuperSport United,15,0.6,1.34,26.26
512,529,Cremonese,21,0.73,1.54,26.15
513,559,Milton Keynes Dons,29,0.85,1.74,25.9
514,510,Lugo,26,0.65,1.44,25.85
